03-03-2024 00:02:56: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:04:10: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:05:17: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:07:43: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:07:52: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:09:32: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:10:23: session  :- Error :  ------------------------- Starts pageload------------
03-03-2024 00:10:23: session  :- Error :  1 
03-03-2024 00:10:23: session  :- Error :  2 
03-03-2024 00:10:26: ListTracker.aspx ListData() :- Error : You should not call DataBind in NeedDataSource event handler. DataBind would take place automatically right after NeedDataSource handler finishes execution. - 
03-03-2024 00:10:27: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:10:31: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:17:41: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:21:13: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:33:03: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:33:16: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:33:55: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:35:02: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:36:32: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:36:46: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:44:38: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:45:12: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:47:38: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:54:21: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:21: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:54:23: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:24: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:24: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:24: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:25: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 00:54:27: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:27: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:33: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:54:34: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 00:55:12: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:00:56: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:00:56: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:00:56: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:00:56: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:00:57: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:01:14: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:01:15: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:01:15: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:01:15: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:02:34: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:03:58: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:04:05: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:04:07: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:04:07: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:25: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
